기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
2018,글로벌,약국,44.94
2018,글로벌,피부과,10.44
2018,글로벌,대학/종합병원,24.52
2018,글로벌,성형외과,6.54
2018,글로벌,치과,7.02
2018,글로벌,한의학과,4.87
2018,글로벌,안과,1.54
2018,글로벌,한약방,0.13
2019,글로벌,약국,46.61
2019,글로벌,피부과,11.43
2019,글로벌,대학/종합병원,21.93
2019,글로벌,성형외과,7.04
2019,글로벌,치과,6.58
2019,글로벌,한의학과,4.71
2019,글로벌,안과,1.53
2019,글로벌,한약방,0.17
2020,글로벌,약국,52.99
2020,글로벌,피부과,8.08
2020,글로벌,대학/종합병원,20.69
2020,글로벌,성형외과,3.76
2020,글로벌,치과,7.73
2020,글로벌,한의학과,5.13
2020,글로벌,안과,1.49
2020,글로벌,한약방,0.13
2021,글로벌,약국,39.43
2021,글로벌,피부과,8.21
2021,글로벌,대학/종합병원,33.57
2021,글로벌,성형외과,2.68
2021,글로벌,치과,9.06
2021,글로벌,한의학과,5.08
2021,글로벌,안과,1.92
2021,글로벌,한약방,0.05
2022,글로벌,약국,49.97
2022,글로벌,피부과,9.58
2022,글로벌,대학/종합병원,20.85
2022,글로벌,성형외과,5.47
2022,글로벌,치과,7.75
2022,글로벌,한의학과,4.19
2022,글로벌,안과,2.07
2022,글로벌,한약방,0.11
2023,글로벌,약국,49.81
2023,글로벌,피부과,18.53
2023,글로벌,대학/종합병원,12.4
2023,글로벌,성형외과,8.81
2023,글로벌,치과,5.45
2023,글로벌,한의학과,3.18
2023,글로벌,안과,1.68
2023,글로벌,한약방,0.14
2024,글로벌,약국,50.8
2024,글로벌,피부과,24.48
2024,글로벌,대학/종합병원,8.37
2024,글로벌,성형외과,7.6
2024,글로벌,치과,4.51
2024,글로벌,한의학과,2.65
2024,글로벌,안과,1.5
2024,글로벌,한약방,0.1
2025,글로벌,약국,58.62
2025,글로벌,피부과,22.19
2025,글로벌,대학/종합병원,6.34
2025,글로벌,성형외과,5.67
2025,글로벌,치과,3.72
2025,글로벌,한의학과,2.11
2025,글로벌,안과,1.26
2025,글로벌,한약방,0.08
2026,글로벌,약국,67.93
2026,글로벌,피부과,17.21
2026,글로벌,대학/종합병원,4.99
2026,글로벌,성형외과,3.87
2026,글로벌,치과,3.23
2026,글로벌,한의학과,1.7
2026,글로벌,안과,0.99
2026,글로벌,한약방,0.08
